nome,questoes,url
"ABC - SP - 2012 - R1 - 1",120,https://www.provaderesidencia.com.br/premium/prova/692/
"ABC - SP - 2014 - R1 - 1",120,https://www.provaderesidencia.com.br/premium/prova/337/
"ABC - SP - 2015 - R1 - 1",120,https://www.provaderesidencia.com.br/premium/prova/574/
"ABC - SP - 2016 - R1 - 1",117,https://www.provaderesidencia.com.br/premium/prova/799/
"ABC - SP - 2017 - R1 - 1",120,https://www.provaderesidencia.com.br/premium/prova/978/
"ABC - SP - 2017 - R3 - CIRURGIA GERAL",90,https://www.provaderesidencia.com.br/premium/prova/913/
"ABC - SP - 2017 - R3 - PEDIATRIA",45,https://www.provaderesidencia.com.br/premium/prova/1007/
"ABC - SP - 2018 - R1 - 1",120,https://www.provaderesidencia.com.br/premium/prova/1235/
"ABC - SP - 2018 - R3 - CIRURGIA GERAL",90,https://www.provaderesidencia.com.br/premium/prova/1217/
"ABC - SP - 2018 - R3 - CLÍNICA MÉDICA",90,https://www.provaderesidencia.com.br/premium/prova/1325/
"ABC - SP - 2018 - R3 - PEDIATRIA",45,https://www.provaderesidencia.com.br/premium/prova/1187/
"ABC - SP - 2019 - R1 - 1",100,https://www.provaderesidencia.com.br/premium/prova/1342/
"ABC - SP - 2020 - R1 - 1",100,https://www.provaderesidencia.com.br/premium/prova/1903/
"ABC - SP - 2020 - R3 - CIRURGIA",80,https://www.provaderesidencia.com.br/premium/prova/1885/
"ABC - SP - 2020 - R3 - CLÍNICA MÉDICA",80,https://www.provaderesidencia.com.br/premium/prova/1850/
"ABC - SP - 2020 - R3 - PEDIATRIA",40,https://www.provaderesidencia.com.br/premium/prova/1919/
"ABC - SP - 2021 - R1 - 1",100,https://www.provaderesidencia.com.br/premium/prova/2110/
"ABC - SP - 2021 - R3 - CIRURGIA",80,https://www.provaderesidencia.com.br/premium/prova/2105/
"ABC - SP - 2021 - R3 - CLÍNICA MÉDICA",80,https://www.provaderesidencia.com.br/premium/prova/2128/
"ABC - SP - 2021 - R4 - GO",40,https://www.provaderesidencia.com.br/premium/prova/2159/
"ABC - SP - 2022 - R1 - 1 Premium (Pago)",100,https://www.provaderesidencia.com.br/premium/prova/2249/
"ABC - SP - 2022 - R3 - CIRURGIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2353/
"ABC - SP - 2022 - R3 - CLINICA MEDICA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2542/
"ABC - SP - 2022 - R3 - PEDIATRIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2428/
"ABC - SP - 2023 - ENDOSCOPIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2621/
"ABC - SP - 2023 - MASTOLOGIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2936/
"ABC - SP - 2023 - R+ - CIRURGIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2878/
"ABC - SP - 2023 - R+ - CLINICA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2959/
"ABC - SP - 2023 - R+ - PEDIATRIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/2867/
"ABC - SP - 2023 - R1 Premium (Pago)",100,https://www.provaderesidencia.com.br/premium/prova/2696/
"ABC - SP - 2024 - ENDOSCOPIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/3208/
"ABC - SP - 2024 - MASTOLOGIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/3087/
"ABC - SP - 2024 - R+ - CIRURGIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/3276/
"ABC - SP - 2024 - R+ - CLINICA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/3132/
"ABC - SP - 2024 - R+ - PEDIATRIA Premium (Pago)",50,https://www.provaderesidencia.com.br/premium/prova/3190/
